ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,44852 4 45103 12 45358 13 45613 15 45868 16 46124 16 46380 15 46635 16 46892 14 47149 11 47406 9
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50025 6 50278 11 50533 13 50787 16 51042 17 51297 18 51553 18 51808 19 52064 19 52319 20 52575 19 52831 19 53087 18 53344 16 53601 14 53858 12 54115 10
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10640 1 10891 9 11146 11 11400 13 11655 14 11910 15 12166 15 12421 16 12677 16 12932 16 13188 16 13444 15 13700 14 13956 13 14213 11 14470 8 14727 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,30876 6 31131 8 31375 21 31629 23 31883 26 32138 27 32393 27 32648 28 32903 28 33159 27 33414 24 33670 23 33926 21 34181 21 34438 19 34694 18 34950 17 35207 15 35464 12 35721 9
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50841 7 51095 10 51350 11 51605 12 51860 13 52115 14 52370 15 52626 15 52881 15 53137 14 53392 14 53648 13 53904 13 54160 12 54416 11 54673 8 54930 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38563 8 38818 9 39072 12 39327 13 39582 14 39837 15 40093 15 40349 15 40605 14 40861 14 41117 13 41373 12 41630 11 41886 10 42143 8 42401 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,51384 2 51902 8 51919 5 52421 11 52436 10 52940 26 53459 27 53978 27 54497 28 55016 28 55535 29 56054 30 56573 30 57092 30 57611 31 58130 31 58649 31 59168 31 59687 31 60206 31 60725 31 61244 31 61764 30 62283 30 62802 30 63321 30 63841 29 64359 30 64878 29 65397 29 65918 26 66436 28 66954 12 66967 16 67474 29 67993 30 68512 10 68525 17 69030 11 69045 17 69551 9 69563 19 70071 16 70089 13 70593 3 70612 9 71113 2 71133 8 71653 8 72174 7 72694 7 73214 9 73734 9 74254 9 74773 15 75292 20 75812 22 76331 23 76850 26 77369 27 77889 26 78408 26 78928 26 79448 25 79970 22 80491 20 81011 19 81531 19 82051 18 82570 18 83088 19 83607 19 84125 20 84644 19 85162 20 85681 20 86201 19 86719 20 87237 21 87756 21 88275 21 88794 20 89313 20 89832 20 90352 19 90871 19 91391 18 91911 17 92429 19 92950 18 93472 16 93992 15 94512 15 95030 17 95549 18 96069 18 96589 18 97109 18 97629 18 98148 19 98668 19 99187 20 99706 20 100226 20 100746 20 101265 21 101785 21 102304 21 102824 21 103344 21 103864 21 104384 21 104904 20 105424 20 105944 20 106465 18 106984 18 107504 18 108026 16 108547 15 109067 15 109588 15 110109 15 110628 15 111147 15 111667 16 112186 18 112707 17 113227 18 113748 17 114268 17 114788 16 115307 16 115827 16 116346 16 116866 15 117386 15 117904 16 118424 16 118944 16 119464 16 119985 14 120506 13 121026 12 121547 12 122068 11 122589 9 123108 10 123628 10 124148 10 124670 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,126120 3 126638 6 127157 6 127677 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24416 11 24930 19 25448 22 25966 24 26484 26 27001 28 27520 28 28039 28 28557 29 29076 28 29594 29 30112 29 30631 29 31150 28 31669 28 32187 28 32706 28 33225 27 33744 26 34263 26 34783 24 35302 24 35821 23 36340 22 36861 18 37381 16 37900 14 38420 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,81502 1 82021 1 82538 4 83054 8 83570 12 84090 12 84609 12 85126 14 85645 15 86165 14 86684 14 87202 16 87721 16 88242 15 88761 15 89280 17 89799 18 90319 17 90838 19 91357 24 91876 25 92395 25 92915 24 93435 24 93954 24 94473 24 94993 23 95513 23 96032 23 96552 22 97071 21 97590 21 98109 21 98629 20 99148 20 99668 20 100187 21 100706 22 101225 22 101745 22 102264 23 102783 24 103303 24 103824 22 104343 23 104863 24 105383 24 105902 25 106423 24 106944 23 107465 23 107986 22 108507 22 109029 19 109549 19 110069 20 110589 19 111110 18 111629 19 112149 18 112669 18 113188 19 113709 17 114229 17 114749 17 115268 17 115788 17 116307 18 116827 17 117347 16 117867 16 118386 16 118906 16 119425 17 119946 17 120465 18 120985 18 121505 18 122025 18 122545 18 123064 18 123584 17 124104 17 124625 15 125146 13 125666 12 126186 13 126705 15 127225 15 127744 16 128263 18 128782 20 129302 20 129821 21 130341 20 130862 12
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,119401 6 119919 9 120437 11 120956 12 121475 13 121994 13 122513 13 123032 13 123551 13 124069 15 124588 15 125107 16 125626 17 126144 18 126663 19 127182 19 127701 18 128220 18 128740 17 129260 15 129780 14 130301 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,6277 11 6794 14 7312 17 7830 19 8348 22 8866 24 8898 3 9385 39 9904 41 10422 44 10941 44 11460 44 11979 45 12498 46 13017 46 13535 47 14054 48 14573 48 15092 48 15611 48 16130 48 16649 26 16677 21 17168 26 17198 19 17687 25 17718 18 18206 25 18238 18 18725 24 18758 17 19244 24 19277 17 19763 23 19797 16 20282 22 20316 17 20801 22 20835 18 21320 22 21354 18 21839 22 21874 18 22359 20 22393 17 22878 20 22911 18 23397 19 23432 14 23917 17 23952 11 24439 14 24476 2
